district,voter_21,Rvoter_21,Dvoter_21,d_type,voter_22,Rvoter_22,Dvoter_22,oth21,oth22,v_up_down,d_up_down,r_up_down,oth_up_down,dvr21,dvr22,part_control21,part_control22,party_switch
STH083,36029.0,18343.0,12367.0,State House,35634.0,18381.0,11889.0,5319.0,5364.0,395.0,478.0,-38.0,-45.0,-5976.0,-6492.0,GOP,GOP,False
STH084,38702.0,25617.0,8405.0,State House,43227.0,28297.0,9687.0,4680.0,5243.0,-4525.0,-1282.0,-2680.0,-563.0,-17212.0,-18610.0,GOP,GOP,False
STH085,38956.0,22544.0,10631.0,State House,40374.0,25212.0,10085.0,5781.0,5077.0,-1418.0,546.0,-2668.0,704.0,-11913.0,-15127.0,GOP,GOP,False
STH086,40537.0,25165.0,9723.0,State House,40192.0,26711.0,8688.0,5649.0,4793.0,345.0,1035.0,-1546.0,856.0,-15442.0,-18023.0,GOP,GOP,False
STH087,53887.0,25488.0,19462.0,State House,47573.0,25067.0,14881.0,8937.0,7625.0,6314.0,4581.0,421.0,1312.0,-6026.0,-10186.0,GOP,GOP,False
STH088,46928.0,22325.0,16980.0,State House,46845.0,22044.0,16839.0,7623.0,7962.0,83.0,141.0,281.0,-339.0,-5345.0,-5205.0,GOP,GOP,False
STH089,41949.0,23858.0,11913.0,State House,41895.0,24040.0,11618.0,6178.0,6237.0,54.0,295.0,-182.0,-59.0,-11945.0,-12422.0,GOP,GOP,False
STH090,42546.0,26701.0,9564.0,State House,41874.0,26599.0,8938.0,6281.0,6337.0,672.0,626.0,102.0,-56.0,-17137.0,-17661.0,GOP,GOP,False
STH091,45283.0,24613.0,13115.0,State House,45831.0,25020.0,13071.0,7555.0,7740.0,-548.0,44.0,-407.0,-185.0,-11498.0,-11949.0,GOP,GOP,False
STH092,46382.0,27692.0,11805.0,State House,46699.0,27832.0,11855.0,6885.0,7012.0,-317.0,-50.0,-140.0,-127.0,-15887.0,-15977.0,GOP,GOP,False
STH093,46721.0,25269.0,14003.0,State House,47266.0,25565.0,14045.0,7449.0,7656.0,-545.0,-42.0,-296.0,-207.0,-11266.0,-11520.0,GOP,GOP,False
STH094,41722.0,23371.0,11879.0,State House,42175.0,23738.0,11757.0,6472.0,6680.0,-453.0,122.0,-367.0,-208.0,-11492.0,-11981.0,GOP,GOP,False
STH095,38743.0,9900.0,21182.0,State House,36687.0,8909.0,20202.0,7661.0,7576.0,2056.0,980.0,991.0,85.0,11282.0,11293.0,Dem,Dem,False
STH096,39011.0,7447.0,23591.0,State House,45258.0,15847.0,21313.0,7973.0,8098.0,-6247.0,2278.0,-8400.0,-125.0,16144.0,5466.0,Dem,Dem,False
STH097,50416.0,24876.0,17375.0,State House,45500.0,24492.0,13681.0,8165.0,7327.0,4916.0,3694.0,384.0,838.0,-7501.0,-10811.0,GOP,GOP,False
STH098,41636.0,22285.0,12725.0,State House,44668.0,25583.0,12380.0,6626.0,6705.0,-3032.0,345.0,-3298.0,-79.0,-9560.0,-13203.0,GOP,GOP,False
STH099,35634.0,22186.0,7950.0,State House,35465.0,21728.0,8554.0,5498.0,5183.0,169.0,-604.0,458.0,315.0,-14236.0,-13174.0,GOP,GOP,False
STH100,34439.0,21051.0,8090.0,State House,32669.0,21768.0,6098.0,5298.0,4803.0,1770.0,1992.0,-717.0,495.0,-12961.0,-15670.0,GOP,GOP,False
STH101,46083.0,22681.0,15754.0,State House,40686.0,19074.0,14444.0,7648.0,7168.0,5397.0,1310.0,3607.0,480.0,-6927.0,-4630.0,GOP,GOP,False
STH102,40795.0,24728.0,10321.0,State House,40941.0,25667.0,9612.0,5746.0,5662.0,-146.0,709.0,-939.0,84.0,-14407.0,-16055.0,GOP,GOP,False
STH103,41622.0,6418.0,28512.0,State House,45714.0,14080.0,23981.0,6692.0,7653.0,-4092.0,4531.0,-7662.0,-961.0,22094.0,9901.0,Dem,Dem,False
STH104,45895.0,21296.0,18376.0,State House,37865.0,9707.0,21885.0,6223.0,6273.0,8030.0,-3509.0,11589.0,-50.0,-2920.0,12178.0,GOP,Dem,True
STH105,50468.0,22503.0,20293.0,State House,42873.0,13956.0,22201.0,7672.0,6716.0,7595.0,-1908.0,8547.0,956.0,-2210.0,8245.0,GOP,Dem,True
STH106,45524.0,19892.0,17914.0,State House,46471.0,22726.0,15863.0,7718.0,7882.0,-947.0,2051.0,-2834.0,-164.0,-1978.0,-6863.0,GOP,GOP,False
STH107,39294.0,19178.0,14695.0,State House,41429.0,23053.0,13120.0,5421.0,5256.0,-2135.0,1575.0,-3875.0,165.0,-4483.0,-9933.0,GOP,GOP,False
STH108,39536.0,23024.0,10768.0,State House,42575.0,23401.0,12580.0,5744.0,6594.0,-3039.0,-1812.0,-377.0,-850.0,-12256.0,-10821.0,GOP,GOP,False
STH109,36113.0,18323.0,12283.0,State House,38440.0,19981.0,12617.0,5507.0,5842.0,-2327.0,-334.0,-1658.0,-335.0,-6040.0,-7364.0,GOP,GOP,False
STH110,36560.0,22422.0,9416.0,State House,46111.0,28093.0,12040.0,4722.0,5978.0,-9551.0,-2624.0,-5671.0,-1256.0,-13006.0,-16053.0,GOP,GOP,False
STH111,38688.0,22540.0,10672.0,State House,38899.0,23039.0,10297.0,5476.0,5563.0,-211.0,375.0,-499.0,-87.0,-11868.0,-12742.0,GOP,GOP,False
STH112,42308.0,10300.0,27563.0,State House,43936.0,12825.0,26736.0,4445.0,4375.0,-1628.0,827.0,-2525.0,70.0,17263.0,13911.0,Dem,Dem,False
STH113,39715.0,10699.0,24281.0,State House,37404.0,11437.0,20849.0,4735.0,5118.0,2311.0,3432.0,-738.0,-383.0,13582.0,9412.0,Dem,Dem,False
STH114,45404.0,16512.0,24198.0,State House,42604.0,14206.0,23488.0,4694.0,4910.0,2800.0,710.0,2306.0,-216.0,7686.0,9282.0,Dem,Dem,False
STH115,39894.0,10817.0,21292.0,State House,41524.0,12853.0,20190.0,7785.0,8481.0,-1630.0,1102.0,-2036.0,-696.0,10475.0,7337.0,Dem,Dem,False
STH116,41005.0,19059.0,16174.0,State House,30709.0,12498.0,13640.0,5772.0,4571.0,10296.0,2534.0,6561.0,1201.0,-2885.0,1142.0,GOP,Dem,True
STH117,41780.0,23415.0,13327.0,State House,42890.0,23929.0,13571.0,5038.0,5390.0,-1110.0,-244.0,-514.0,-352.0,-10088.0,-10358.0,GOP,GOP,False
STH118,45760.0,16937.0,23792.0,State House,44148.0,15898.0,23715.0,5031.0,4535.0,1612.0,77.0,1039.0,496.0,6855.0,7817.0,Dem,Dem,False
STH119,42014.0,16136.0,20219.0,State House,39142.0,15036.0,18983.0,5659.0,5123.0,2872.0,1236.0,1100.0,536.0,4083.0,3947.0,Dem,Dem,False
STH120,44762.0,17458.0,21771.0,State House,42725.0,18218.0,19238.0,5533.0,5269.0,2037.0,2533.0,-760.0,264.0,4313.0,1020.0,Dem,Dem,False
STH121,39965.0,11811.0,22335.0,State House,33409.0,9726.0,18879.0,5819.0,4804.0,6556.0,3456.0,2085.0,1015.0,10524.0,9153.0,Dem,Dem,False
STH122,41461.0,19967.0,15044.0,State House,43595.0,21161.0,15603.0,6450.0,6831.0,-2134.0,-559.0,-1194.0,-381.0,-4923.0,-5558.0,GOP,GOP,False
STH123,31516.0,14421.0,13063.0,State House,40948.0,20156.0,15374.0,4032.0,5418.0,-9432.0,-2311.0,-5735.0,-1386.0,-1358.0,-4782.0,GOP,GOP,False
STH124,39802.0,22354.0,12011.0,State House,41283.0,23161.0,12181.0,5437.0,5941.0,-1481.0,-170.0,-807.0,-504.0,-10343.0,-10980.0,GOP,GOP,False
STH125,38828.0,23583.0,10395.0,State House,44532.0,25594.0,12955.0,4850.0,5983.0,-5704.0,-2560.0,-2011.0,-1133.0,-13188.0,-12639.0,GOP,GOP,False
STH126,38903.0,9934.0,22372.0,State House,34039.0,9585.0,18505.0,6597.0,5949.0,4864.0,3867.0,349.0,648.0,12438.0,8920.0,Dem,Dem,False
STH127,31092.0,4487.0,20286.0,State House,29994.0,5991.0,17934.0,6319.0,6069.0,1098.0,2352.0,-1504.0,250.0,15799.0,11943.0,Dem,Dem,False
STH128,45220.0,21746.0,16629.0,State House,46211.0,22104.0,16772.0,6845.0,7335.0,-991.0,-143.0,-358.0,-490.0,-5117.0,-5332.0,GOP,GOP,False
STH129,44735.0,21444.0,16671.0,State House,35801.0,10726.0,18927.0,6620.0,6148.0,8934.0,-2256.0,10718.0,472.0,-4773.0,8201.0,GOP,Dem,True
STH130,44117.0,21408.0,15730.0,State House,44060.0,22252.0,15025.0,6979.0,6783.0,57.0,705.0,-844.0,196.0,-5678.0,-7227.0,GOP,GOP,False
STH131,49581.0,22020.0,18981.0,State House,46945.0,22102.0,16824.0,8580.0,8019.0,2636.0,2157.0,-82.0,561.0,-3039.0,-5278.0,GOP,GOP,False
STH132,38100.0,8742.0,22179.0,State House,45069.0,15144.0,21728.0,7179.0,8197.0,-6969.0,451.0,-6402.0,-1018.0,13437.0,6584.0,Dem,Dem,False
STH133,40581.0,11755.0,21824.0,State House,41796.0,12503.0,22044.0,7002.0,7249.0,-1215.0,-220.0,-748.0,-247.0,10069.0,9541.0,Dem,Dem,False
STH134,47024.0,20799.0,18449.0,State House,37155.0,9672.0,20252.0,7776.0,7231.0,9869.0,-1803.0,11127.0,545.0,-2350.0,10580.0,GOP,Dem,True
STH135,44402.0,10519.0,24983.0,State House,45592.0,11326.0,25112.0,8900.0,9154.0,-1190.0,-129.0,-807.0,-254.0,14464.0,13786.0,Dem,Dem,False
STH136,43916.0,12800.0,22226.0,State House,41236.0,11893.0,20808.0,8890.0,8535.0,2680.0,1418.0,907.0,355.0,9426.0,8915.0,Dem,Dem,False
STH137,47650.0,19689.0,18607.0,State House,47503.0,18097.0,20175.0,9354.0,9231.0,147.0,-1568.0,1592.0,123.0,-1082.0,2078.0,GOP,Dem,True
STH138,51283.0,21890.0,19969.0,State House,48876.0,22223.0,17195.0,9424.0,9458.0,2407.0,2774.0,-333.0,-34.0,-1921.0,-5028.0,GOP,GOP,False
STH139,47320.0,24593.0,13581.0,State House,48065.0,24874.0,13683.0,9146.0,9508.0,-745.0,-102.0,-281.0,-362.0,-11012.0,-11191.0,GOP,GOP,False
STH140,43038.0,12307.0,23818.0,State House,41757.0,13177.0,21440.0,6913.0,7140.0,1281.0,2378.0,-870.0,-227.0,11511.0,8263.0,Dem,Dem,False
STH141,41181.0,12662.0,21853.0,State House,42917.0,12272.0,23851.0,6666.0,6794.0,-1736.0,-1998.0,390.0,-128.0,9191.0,11579.0,Dem,Dem,False
STH142,50227.0,21880.0,20963.0,State House,47459.0,19632.0,20274.0,7384.0,7553.0,2768.0,689.0,2248.0,-169.0,-917.0,642.0,GOP,Dem,True
STH143,51502.0,22643.0,19741.0,State House,49464.0,23438.0,17486.0,9118.0,8540.0,2038.0,2255.0,-795.0,578.0,-2902.0,-5952.0,GOP,GOP,False
STH144,48384.0,22051.0,18241.0,State House,46958.0,20398.0,19374.0,8092.0,7186.0,1426.0,-1133.0,1653.0,906.0,-3810.0,-1024.0,GOP,GOP,False
STH145,45774.0,21601.0,16271.0,State House,44705.0,21806.0,15207.0,7902.0,7692.0,1069.0,1064.0,-205.0,210.0,-5330.0,-6599.0,GOP,GOP,False
STH146,43728.0,17355.0,18844.0,State House,42528.0,15549.0,19504.0,7529.0,7475.0,1200.0,-660.0,1806.0,54.0,1489.0,3955.0,Dem,Dem,False
STH147,45959.0,21873.0,16466.0,State House,46161.0,22685.0,16021.0,7620.0,7455.0,-202.0,445.0,-812.0,165.0,-5407.0,-6664.0,GOP,GOP,False
STH148,52276.0,15370.0,29219.0,State House,48118.0,11788.0,29389.0,7687.0,6941.0,4158.0,-170.0,3582.0,746.0,13849.0,17601.0,Dem,Dem,False
STH149,48925.0,13880.0,26893.0,State House,45069.0,12611.0,24575.0,8152.0,7883.0,3856.0,2318.0,1269.0,269.0,13013.0,11964.0,Dem,Dem,False
STH150,43919.0,17914.0,18601.0,State House,43862.0,17119.0,18960.0,7404.0,7783.0,57.0,-359.0,795.0,-379.0,687.0,1841.0,Dem,Dem,False
STH151,45721.0,17749.0,20562.0,State House,47175.0,17090.0,22453.0,7410.0,7632.0,-1454.0,-1891.0,659.0,-222.0,2813.0,5363.0,Dem,Dem,False
STH152,46684.0,17407.0,22165.0,State House,42682.0,14958.0,21187.0,7112.0,6537.0,4002.0,978.0,2449.0,575.0,4758.0,6229.0,Dem,Dem,False
